station_name,obs_year,bloom_date,bloom_doy
홍성,2018,2018-05-08,128
홍성,2019,2019-05-13,133
홍성,2020,2020-05-11,132
홍성,2021,2021-05-11,131
홍성,2022,2022-05-10,130
홍성,2023,2023-05-04,124
홍성,2024,2024-05-07,128
홍성,2025,2025-05-09,129
흑산도,2016,2016-05-21,142
흑산도,2017,2017-05-15,135
흑산도,2018,2018-05-16,136
흑산도,2019,2019-05-15,135
흑산도,2020,2020-05-31,152
흑산도,2021,2021-05-13,133
흑산도,2022,2022-05-17,137
흑산도,2023,2023-05-24,144
흑산도,2024,2024-05-12,133
흑산도,2025,2025-05-22,142
